"lot_id","parameter_id","value"
"1","1","#FFFFFF"
"1","2","2022-04-08T00:19:32.306Z"
"2","1","#FFFFFF"
"2","2","2022-04-20T19:19:05.329Z"
"3","1","#FFFFFF"
"3","2","2022-04-20T19:19:05.329Z"
"5","1","#FFFFFF"
"5","2","2022-04-20T19:19:05.329Z"
"6","1","#DC7633"
"6","2","2022-04-20T19:19:05.329Z"
"7","1","#DC7633"
"7","2","2022-04-20T19:19:05.329Z"
"8","1","#DC7633"
"8","2","2022-04-20T19:19:05.329Z"
"9","1","#DC7633"
"9","2","2022-04-20T19:19:05.329Z"
"10","1","#DC7633"
"10","2","2022-04-20T19:19:05.329Z"
"11","1","#DC7633"
"11","2","2022-04-20T19:19:05.329Z"
"12","1","#DC7633"
"12","2","2022-04-20T19:19:05.329Z"
"13","1","#DC7633"
"13","2","2022-04-20T19:19:05.329Z"
"14","1","#DC7633"
"14","2","2022-04-20T19:19:05.329Z"
"15","1","#DC7633"
"15","2","2022-04-20T19:19:05.329Z"
"16","1","#DC7633"
"16","2","2022-04-20T19:19:05.329Z"
"17","1","#DC7633"
"17","2","2022-04-20T19:19:05.329Z"
"18","1","#DC7633"
"18","2","2022-04-20T19:19:05.329Z"
"19","2","2022-04-20T19:19:05.329Z"
"20","2","2022-04-20T19:19:05.329Z"
"21","2","2022-04-20T19:19:05.329Z"
"22","2","2022-04-20T19:19:05.329Z"
"23","2","2022-04-20T19:19:05.329Z"
"24","2","2022-04-20T19:19:05.329Z"
"1","4","Аляскинский маламут"
"2","4","Аляскинский маламут"
"3","4","Аляскинский маламут"
"5","4","Аляскинский маламут"
"6","4","Аляскинский маламут"
"7","4","Аляскинский маламут"
"8","4","Аляскинский маламут"
"9","4","Аляскинский маламут"
"10","4","Аляскинский маламут"
"11","4","Аляскинский маламут"
"12","4","Аляскинский маламут"
"13","4","Аляскинский маламут"
"14","4","Аляскинский маламут"
"15","4","Аляскинский маламут"
"16","4","Аляскинский маламут"
"17","4","Аляскинский маламут"
"18","4","Аляскинский маламут"
"19","6","Абиссинская"
"20","6","Абиссинская"
"21","6","Абиссинская"
"22","6","Абиссинская"
"23","6","Абиссинская"
"24","6","Абиссинская"
